NumFlights,merged_labels
0,3.0
0,3.0
0,3.0
0,3.0
135,2.0
196,4.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
196,2.0
0,3.0
234,2.0
118,4.0
216,2.0
0,3.0
0,3.0
0,3.0
0,3.0
183,2.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
256,2.0
0,3.0
0,3.0
180,2.0
176,2.0
0,3.0
0,3.0
0,3.0
207,4.0
0,3.0
0,3.0
0,3.0
0,3.0
216,4.0
0,3.0
0,3.0
178,2.0
168,1.0
0,3.0
0,3.0
0,3.0
0,3.0
244,2.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
162,2.0
155,4.0
188,4.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
154,2.0
0,3.0
202,4.0
0,3.0
0,3.0
0,3.0
0,3.0
221,2.0
0,3.0
206,2.0
0,3.0
0,3.0
199,4.0
180,4.0
0,3.0
0,3.0
199,2.0
0,3.0
0,3.0
107,
0,3.0
0,3.0
183,4.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
180,1.0
0,3.0
0,3.0
164,4.0
0,3.0
0,3.0
0,3.0
115,
177,2.0
153,4.0
133,2.0
127,2.0
0,3.0
0,3.0
0,3.0
141,4.0
160,2.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
167,4.0
0,3.0
0,3.0
0,3.0
224,2.0
0,3.0
0,3.0
0,3.0
117,4.0
0,3.0
0,3.0
0,3.0
174,2.0
234,2.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
134,4.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
218,4.0
0,3.0
0,3.0
0,3.0
168,2.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
164,2.0
170,4.0
0,3.0
191,2.0
0,3.0
208,2.0
0,3.0
151,1.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
187,1.0
219,1.0
189,1.0
0,3.0
0,3.0
204,2.0
0,3.0
177,2.0
0,3.0
0,3.0
0,3.0
0,3.0
186,4.0
0,3.0
241,2.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
155,
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
183,2.0
0,3.0
0,3.0
170,2.0
0,3.0
0,3.0
0,3.0
0,3.0
0,3.0
167,2.0
0,3.0
0,3.0
0,3.0
0,3.0
265,4.0
139,2.0
0,3.0
216,2.0
0,3.0
0,3.0
243,2.0
16,0.0
0,3.0
140,2.0
0,3.0
1,
200,4.0
10,0.0
202,2.0
236,2.0
162,4.0
167,2.0
0,3.0
172,2.0
124,2.0
14,
5,
223,2.0
10,
11,0.0
11,0.0
11,0.0
206,2.0
229,4.0
9,1.0
11,1.0
11,0.0
7,
0,3.0
4,
0,3.0
11,
13,0.0
15,1.0
176,4.0
7,
209,2.0
12,0.0
15,0.0
0,3.0
0,3.0
1,
8,
10,
5,0.0
0,3.0
3,
9,0.0
11,0.0
0,3.0
11,
183,2.0
0,3.0
17,0.0
11,0.0
221,4.0
14,
0,3.0
2,
11,0.0
0,3.0
7,
0,3.0
14,1.0
8,
5,
144,4.0
14,
9,0.0
14,0.0
13,0.0
0,3.0
17,0.0
7,
13,
10,0.0
17,
0,3.0
4,
13,0.0
17,1.0
0,3.0
0,3.0
0,3.0
12,
0,3.0
0,3.0
0,3.0
4,
6,
5,
7,
0,3.0
4,0.0
179,2.0
5,0.0
12,0.0
13,
0,3.0
14,0.0
8,
0,3.0
2,
0,3.0
158,2.0
17,0.0
2,0.0
4,
11,
11,
2,
12,0.0
206,2.0
17,
11,0.0
15,
238,2.0
8,
0,3.0
11,
5,0.0
188,2.0
174,2.0
7,0.0
14,1.0
210,4.0
0,3.0
0,3.0
148,4.0
17,0.0
8,0.0
0,3.0
4,0.0
1,
11,0.0
8,
12,
0,3.0
0,3.0
11,0.0
135,2.0
189,1.0
4,
13,0.0
0,3.0
0,3.0
14,
11,
12,
144,2.0
8,
0,3.0
6,0.0
2,0.0
11,0.0
154,2.0
7,0.0
0,3.0
0,3.0
15,
5,0.0
1,
1,
5,0.0
2,
204,4.0
7,0.0
0,3.0
0,3.0
15,
10,
0,3.0
16,0.0
200,2.0
16,
6,0.0
14,0.0
240,1.0
9,
5,0.0
0,3.0
0,3.0
0,3.0
245,2.0
17,0.0
0,3.0
180,1.0
0,3.0
265,2.0
11,
0,3.0
0,3.0
0,3.0
7,
4,0.0
0,3.0
17,1.0
0,3.0
0,3.0
2,
3,
0,3.0
0,3.0
0,3.0
0,3.0
15,0.0
8,0.0
6,0.0
10,
162,2.0
2,0.0
224,2.0
0,3.0
12,0.0
3,0.0
0,3.0
0,3.0
0,3.0
0,3.0
11,
0,3.0
13,
209,2.0
11,
243,2.0
0,3.0
0,3.0
0,3.0
11,
5,
13,
7,
15,0.0
15,
205,2.0
188,4.0
0,3.0
5,
7,
153,2.0
190,1.0
0,3.0
16,
9,0.0
17,0.0
13,0.0
19,
0,3.0
1,
0,3.0
13,0.0
0,3.0
24,1.0
7,
9,
0,3.0
11,0.0
21,1.0
18,
18,0.0
21,
23,
15,1.0
21,0.0
16,0.0
1,
16,0.0
19,1.0
9,0.0
3,0.0
14,1.0
8,0.0
19,
4,
0,3.0
24,0.0
3,
4,
6,
16,0.0
7,
4,
17,0.0
6,
12,0.0
0,3.0
5,
15,
6,
11,0.0
4,
9,0.0
0,3.0
17,1.0
9,
13,
10,
12,1.0
0,3.0
15,
17,1.0
23,0.0
5,
21,0.0
19,
17,
11,
11,
0,3.0
2,
11,
12,0.0
2,
10,
6,
8,
17,0.0
6,
17,0.0
8,
24,
3,
5,
12,
25,0.0
0,3.0
1,
7,0.0
11,
22,0.0
21,
9,0.0
25,
16,
5,0.0
9,
13,
22,0.0
7,
6,
4,
0,3.0
16,0.0
11,1.0
13,1.0
8,0.0
2,
1,
7,
4,
11,0.0
10,1.0
14,0.0
0,3.0
14,
28,0.0
0,3.0
16,
13,1.0
11,0.0
0,3.0
0,3.0
6,0.0
1,
0,3.0
3,0.0
11,
10,
15,
6,0.0
0,3.0
3,
12,
7,
22,0.0
11,
17,1.0
13,0.0
10,
8,
1,
28,1.0
11,0.0
7,
21,
9,0.0
27,
8,
10,
3,
5,
11,
12,1.0
13,0.0
2,
14,0.0
11,
4,
4,
0,3.0
10,
2,
13,0.0
13,0.0
18,
18,1.0
13,1.0
17,1.0
13,
12,1.0
7,0.0
1,
3,
3,
9,0.0
2,
24,0.0
11,
0,3.0
16,0.0
11,
22,0.0
17,
23,1.0
11,
8,
9,0.0
8,0.0
0,3.0
19,1.0
13,0.0
0,3.0
3,
7,
16,1.0
8,0.0
10,
21,0.0
26,0.0
18,
1,0.0
12,
12,
0,3.0
20,0.0
12,0.0
10,1.0
14,0.0
19,
8,
20,
17,0.0
20,0.0
26,0.0
0,3.0
17,
22,0.0
11,
16,
9,
0,3.0
27,0.0
1,
5,
32,
27,0.0
17,1.0
9,
1,
21,1.0
21,
10,
13,0.0
6,1.0
5,
16,1.0
11,0.0
21,
5,
6,
19,
21,1.0
32,0.0
18,0.0
24,0.0
22,0.0
22,
20,1.0
34,1.0
33,1.0
12,
24,
21,
16,0.0
27,0.0
5,
8,
5,
13,
8,
12,
23,
16,0.0
22,
18,0.0
23,1.0
7,
11,
14,
12,0.0
12,
31,1.0
28,0.0
6,
11,
19,0.0
1,
16,
16,1.0
9,
33,1.0
24,0.0
0,3.0
7,0.0
19,0.0
0,3.0
22,1.0
15,1.0
12,0.0
15,
0,3.0
9,
11,
14,1.0
20,0.0
18,0.0
9,0.0
22,0.0
39,0.0
20,
25,
25,
29,0.0
23,0.0
14,
3,
15,0.0
24,1.0
0,3.0
20,0.0
19,
14,
1,
13,0.0
9,1.0
27,1.0
18,
32,0.0
17,0.0
17,0.0
8,0.0
18,
8,
4,
22,1.0
10,
26,0.0
40,
13,
9,
18,0.0
3,
18,
23,0.0
24,0.0
2,
16,
11,0.0
20,
1,
13,
29,1.0
26,0.0
10,
17,1.0
11,
0,3.0
4,0.0
11,0.0
19,
17,1.0
0,3.0
21,
13,0.0
